"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "sgl1" "sgl2" "sgl3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred1" 0.48816996620482 0.477656841925788 0.465155600944896 0.443463882541992 0.498419201945278 0.460444555375449 0.488740741013455 0.453821436864992 0.00515601374102875 0.032892278795118 0.283331053521461 0.488301747582921 0.497595884705061 0.492248341786352 0.392767509795516 0.448655791445761 0.442809145018279
"pred2" 0.441833623737555 0.441833623737555 0.409443400329072 0.413911416424307 0.380371570640658 0.371440070067976 0.421158202370035 0.317418414536572 0.00114757194719977 0.000302050072908138 0.000146251677066656 0.474755253420384 0.27851835780037 0.444620769109312 0.387413938234506 0.286868122353555 0.247872020705969
"pred3" 0.600151732539161 0.562327069212492 0.522013757852874 0.498759812033931 0.497664013203644 0.545346395817202 0.521956359403996 0.545677293170776 0.240853809387887 0.380129835773754 0.508445927377957 0.486395041655169 0.475023489367084 0.49612887384263 0.426783784401423 0.504314564984317 0.514426703524601
"pred4" 0.629420451374057 0.61563579961352 0.592253442321579 0.583956967663382 0.50085743254517 0.620767992255492 0.60466722801583 0.557236722197214 0.625752926258594 0.989069979022967 0.970392792470872 0.500181980058722 0.495484932753983 0.494344787760335 0.610503086844737 0.499003292266149 0.997112357403471
"pred5" 0.659387932654106 0.678105874012825 0.638319991146843 0.8085286287865 0.804810459017718 0.610626304749461 0.55243511417657 0.557678335099166 0.994421639474354 0.999881251924292 0.940544774080302 0.540555828810869 0.555486741464583 0.571763037523806 0.658419532286237 0.634249877731282 0.653698390325452
"pred6" 0.614251010032384 0.614251010032384 0.614548758786522 0.681308049266391 0.633887695541506 0.638689740661017 0.613616360649769 0.658323691917645 0.995554517945596 0.994881681964729 0.99162323981487 0.543998583382396 0.550225266968027 0.551713050094357 0.649375695944195 0.794230141534357 0.864929561653105
"pred7" 0.796591982841765 0.805921234800636 0.775197607641892 0.930332789215625 0.964044732699983 0.741932461841411 0.590727628682678 0.549650048540811 0.999997841426567 0.999946971725005 0.99845778232694 0.563709563209772 0.500152462605144 0.505302236596067 0.667253006824366 0.638057233822494 0.654763351441965
"pred8" 0.606445267876019 0.606588564736917 0.581328139937366 0.567962455246463 0.525369727051152 0.572691108624245 0.523611836040974 0.484494291883492 0.952296577986431 0.997147539122066 0.678414176442579 0.487588313142133 0.365530616563997 0.43385591026372 0.594926776592978 0.258803960405807 0.528126708230368
"pred9" 0.537123456450085 0.542643773011055 0.574997182757074 0.55023812385643 0.564612080647951 0.575659732457377 0.466547271065131 0.466784077960746 0.0632901714753832 0.809588344404386 0.973373297788974 0.475673161030801 0.486305497366434 0.478786624588754 0.519478947014572 0.3814121199311 0.384783052844731
"pred10" 0.644720145254493 0.631235855665991 0.606135531352087 0.521982379790215 0.532687365928789 0.630963227208958 0.491280376423142 0.477821609219687 0.843422539646547 0.76561182910929 0.699931370878348 0.494058824652481 0.479292112625627 0.477769495825557 0.497080517585315 0.472656690421176 0.471384859275936
"pred11" 0.464029705635377 0.458680835584382 0.459795714766768 0.382212739899798 0.406254289593132 0.461680219164537 0.400302372362145 0.395568756164019 0.019414224306497 0.00728660916103365 0.00575701476809509 0.397189045190056 0.477791775484452 0.465493956075374 0.402133111225447 0.322177351391223 0.301552201850191
"pred12" 0.827162249135925 0.836687687557486 0.832761449182372 0.635595098077164 0.639389408039299 0.784375668230138 0.479268962056757 0.465871305438396 0.966582743689431 0.88571586349891 0.999999780653909 0.488715772008955 0.48136493471195 0.477190132113244 0.473090713774188 0.424333355933328 0.970298525412428
"pred13" 0.765928462554082 0.771130018141659 0.784896242865753 0.811059221138838 0.807597580868577 0.775720527028579 0.558011666085462 0.563419335065267 0.999864966994502 0.999999811721632 0.999999202229449 0.541358822101638 0.534367046758309 0.542297478189857 0.69044083556452 0.662224856499635 0.663128996692905
"pred14" 0.746810251467041 0.725881916090983 0.692252299202842 0.551919439191094 0.525697086702202 0.766830106549499 0.614855341540927 0.60035828627102 0.988595298066049 0.989187525284401 0.999999982651746 0.531256927929352 0.517781197737619 0.523501237901458 0.571193209460242 0.601645462080605 0.0946679492083498
"pred15" 0.876574817664666 0.875684074504209 0.821505674828756 0.761195263484362 0.748569584141566 0.830073925880431 0.637098589435183 0.646812975519557 0.999651912477387 0.99956430306348 0.999990209071204 0.607651110106996 0.552887603621589 0.591894295539811 0.744157848318332 0.752096960052458 0.767382041539106
"pred16" 0.683111699821737 0.672315552275723 0.726778346758051 0.533775189998004 0.546423600560224 0.71308723451481 0.425675170724059 0.418501617000657 0.0677038270863257 0.0237516171223797 0.0693137564001542 0.451260919311595 0.462166988119905 0.455193245010495 0.400336116286573 0.337720955421714 0.322222522529277
"pred17" 0.280445763450113 0.280445763450113 0.203180791100783 0.285791750612832 0.225336638129102 0.244319365853616 0.488217176578562 0.317520250608802 7.76304017160363e-05 0.429776468260693 0.360884310764642 0.498816847040344 0.487171920347467 0.486518734305963 0.484305383291674 0.559614379849781 0.62473762620084
"pred18" 0.42959171727877 0.42959171727877 0.342049209558313 0.680998701829711 0.426329528551791 0.383761338903444 0.580677150010744 0.461631232488528 0.928731759835914 0.945141173617366 0.189260249788316 0.546184367572051 0.496006330328092 0.558133896672176 0.597221450068279 0.658876399159106 0.687074559097921
"pred19" 0.882731040326003 0.887800164394125 0.886044568277656 0.915066865569978 0.936738862243556 0.856417508559066 0.688227667860408 0.656020006560129 0.999998040250144 0.999994667488971 0.999999999996228 0.551312787223498 0.514579393539334 0.519431598043112 0.610916024002955 0.586427870198541 0.999956297002489
