"grridge.1" "grridge.2" "grridge.3" "grridge.4" "grridge.5" "grridge.6" "grridge.7" "grridge.8" "grridge.9" "grridge.10" "gren1.1" "gren1.2" "gren1.3" "gren1.4" "gren1.5" "gren1.6" "gren1.7" "gren1.8" "gren1.9" "gren1.10" "gren2.1" "gren2.2" "gren2.3" "gren2.4" "gren2.5" "gren2.6" "gren2.7" "gren2.8" "gren2.9" "gren2.10" "gren3.1" "gren3.2" "gren3.3" "gren3.4" "gren3.5" "gren3.6" "gren3.7" "gren3.8" "gren3.9" "gren3.10"
"split1" 1.18599321758367 1.11179314987741 0.889907158660727 0.978857307394166 1.0321749462832 0.841844094221059 0.981363152815179 0.939653440415753 0.994129070384757 1.15369387557478 1.09743427187421 1.05006479196748 0.928264987634549 0.99200253152344 1.0208510472873 0.926069752060518 1.00582782823567 0.941319899261778 0.99473602825291 1.05809239269546 1.10331986499225 1.04651986043202 0.917256962274526 0.983731087388526 1.03118165495177 0.922749698886417 1.00997993961543 0.940585583535743 1.00063436705211 1.06094681416416 1.10503547141243 1.04490454901161 0.914497952960366 0.981219323251956 1.03409235429023 0.921665716374204 1.01137907568461 0.939917313348449 1.00454000346232 1.0602826967497
"split2" 4.48923830820359 0.323920213194695 9.04275393086796 1.0555136047036 0.23154655215609 2.79353413868299 1.62751334123602 1.55878482762685 0.892256507081553 0.133087576137745 1.13470666454138 0.888072804150411 1.18203770061679 1.02010022101329 0.889270698554178 1.08433800396595 1.04444971101619 1.04036820985382 0.970770951989215 0.808355841062637 1.1574839753316 0.870736004481475 1.20454380876464 1.02289894596699 0.869399459340179 1.09569691944264 1.05320898989515 1.04904646403611 0.970472262454193 0.787580842686307 1.1597312574721 0.869897051342462 1.20587639057657 1.02235028306869 0.869036599669793 1.09565437348766 1.05370331702473 1.04861772778804 0.971004827068525 0.786239193406188
"split3" 4.72073677909623 0.377569979386699 0.321312371476062 0.328022092461 2.45168652472292 0.713757395602519 4.09974860746895 0.75046016730232 1.37278080827594 1.81741494491087 1.16657241202843 0.886225430236996 0.825659293628084 0.858542395414251 1.12349786137529 0.964210974973641 1.15146716736138 1.00625334737766 1.01255069418104 1.07522943960384 1.18347901455482 0.874123299632902 0.810650454500813 0.841063891713471 1.13381050555895 0.959367931802563 1.17553297607152 1.00809942851094 1.0191518041843 1.08098543664398 1.18561106146902 0.873587367529982 0.810575313684145 0.841604790933011 1.13198750906742 0.957730629912382 1.17400025493677 1.01071376404669 1.02004787622684 1.08034576987782
"split4" 1.1386129654133 0.904803036987879 0.858271180331567 0.8979477785268 0.939987634268682 1.08095688016717 1.05826389576037 1.01004951443123 1.06152453451601 1.1487473843629 1.08994849464225 0.955075526617011 0.869753031666836 0.925960996590855 0.968051360903206 1.06092456282861 1.04275029504767 1.00411183784855 1.02725279037096 1.08070670707635 1.09373899987261 0.959525608173407 0.863609831380693 0.914826634274358 0.962505795189743 1.06058196230263 1.04186388983052 1.00601297000881 1.03354997330547 1.09160450867336 1.09207536736524 0.963303564340568 0.861022535536848 0.91434451883831 0.961128748117197 1.06206336838993 1.04143939161661 1.0052590176685 1.03435328387235 1.09328873191631
"split5" 0.0696174215256997 12.0622516524678 4.21623341206486 2.11486562946096 1.06901909167634 1.46549941354493 0.288083642380741 3.58549296517212 0.421746228689598 0.605177523446699 0.767292081630207 1.17320917355434 1.09165060291733 1.07117482599203 1.02589809884006 1.02468662866246 0.896975573924777 1.09952082604235 0.959760716027223 0.954490983134269 0.734314873328718 1.20020607806588 1.10515972868488 1.08392230468884 1.0287552128878 1.03155022491473 0.884981484516978 1.11205945633264 0.954203104045594 0.950214147067838 0.734501832026228 1.19977137370956 1.10536777784087 1.08509004861325 1.0281314169631 1.03150580803516 0.88417892325676 1.1121113978695 0.954207260158644 0.950540148187523
"split6" 1.06160710285176 0.866694147525286 0.989134068317043 1.25160469500154 1.03274897226582 1.07554992524274 0.912416193537811 0.954246775007086 1.03990830229193 0.916504789686054 1.01807167718758 0.938636156834573 0.977512907975305 1.07504660986531 1.02921716598429 1.0217311515192 0.994631556128182 0.985913920612204 1.00986718289346 0.956217566707333 1.01589684762147 0.934440407097118 0.974958005894395 1.07839682061136 1.02909584731204 1.03199608939335 0.998998482640507 0.981226166984064 1.007919869403 0.954870189974824 1.01407159410237 0.934302047858265 0.977076684989052 1.07874395020653 1.02848468244149 1.03342857053252 1.00306590133207 0.978654670257278 1.00639632061995 0.953659990131034
"split7" 1.90296314497014 1.4568999813209 0.284136238611342 3.15324553156859 0.510097450439889 1.1988125859424 1.57715026540495 0.509359459694438 1.4538828960042 1.02832784426844 1.10738011616283 1.10068186135082 0.670123456184477 1.21414967703991 0.892453048835341 1.01398427649153 1.08722558341843 0.936293703302652 1.06402193734076 1.02880378113724 1.12962450902026 1.11411279399014 0.637139038079148 1.23649345277709 0.875750238761056 1.0229440123076 1.10185725394423 0.919041964268089 1.07748047643033 1.03187243790918 1.12993844975172 1.11438724889651 0.63640490910765 1.23532018823137 0.875487668020439 1.02407958053427 1.10429585802035 0.919483924468313 1.07577655338443 1.0315289030166
"split8" 0.970464902473295 0.855816343355212 0.947690408718437 1.27677072470208 0.975301721770819 0.850872565822101 0.942261655062929 1.09606490161686 1.11187375722687 1.12499909733816 1.00883768148654 0.901682013128146 0.965313068635515 1.11723656552108 0.995372265829126 0.897106821207561 0.992764310343661 1.06025679097648 1.03918088233187 1.04369415043528 1.02075735031617 0.895010352161037 0.96554117712231 1.12014122944878 0.992847183534198 0.894676819686605 0.984137346546972 1.06486310004333 1.04158237175223 1.04385158917132 1.02292791342441 0.892205532034138 0.966026329875901 1.12057755001983 0.994191996498805 0.895574214519189 0.980555885638955 1.06553302133454 1.04241837708268 1.04383266324582
"split9" 1.00556354771943 1.14246106805603 0.876427599951775 1.0588118208003 1.14387121193006 0.886050803514746 0.925076856906413 0.971470648524345 1.01376732156992 1.05776971529686 1.01781304678318 1.02516358192616 0.950758584020834 1.04178207877638 1.04568060738893 0.943232041691645 0.997172506949972 0.986931180067843 0.995104490291971 1.00156782123399 1.01151329449695 1.02562587359399 0.960087853694213 1.03106093610769 1.06213566942351 0.939307320898912 0.988189236095342 0.985821196019822 1.00329589681 0.998468342707387 1.00821590411409 1.02377459420868 0.959904969756152 1.02778851945071 1.07317726456695 0.937757848294059 0.982162232691303 0.987475440955594 1.0072544799368 0.99876139508516
"split10" 1.03318956514324 1.109111319771 0.935590655678204 1.10518385811627 1.03333176885063 0.865272640066908 0.927398874778796 1.03151373656533 1.2227613829852 0.855746531815302 1.00890185809978 1.0441838710892 0.964756850510763 1.06338450458379 1.05744316048914 0.913675096664799 0.930260267281303 1.0182285408612 1.1309824577396 0.89361724464608 1.00204251288009 1.05268384499904 0.961084648173097 1.06084111668612 1.06328607190562 0.903652472446791 0.921586334215894 1.01730493272884 1.14832691281245 0.898565678780121 0.999219487048462 1.05739844962517 0.960895708269665 1.06146269484176 1.06651646004536 0.899789952238498 0.915669996160896 1.01905908622412 1.15335697692293 0.898161962163929
