"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn768" 9 11 7 0 1 1
"combn769" 11 11 7 1 2 2
"combn770" 11 11 6 1 2 1
"combn771" 14 13 12 4 3 4
"combn772" 10 8 6 2 2 1
"combn773" 12 11 10 6 2 0
"combn774" 17 16 12 2 1 1
"combn775" 12 11 7 2 3 0
"combn776" 6 10 6 2 1 1
"combn777" 19 16 12 11 9 7
"combn778" 13 13 8 8 4 0
"combn779" 13 12 7 3 5 3
"combn780" 11 10 6 2 1 1
"combn781" 8 8 4 2 4 2
"combn782" 15 18 9 3 4 5
"combn783" 11 13 10 10 7 3
"combn784" 14 12 10 4 4 2
"combn785" 12 13 10 4 4 1
"combn786" 18 12 12 7 5 2
"combn787" 8 6 5 2 1 0
"combn788" 12 12 10 3 4 2
"combn789" 11 14 8 5 5 1
"combn790" 6 8 7 3 1 2
"combn791" 16 15 7 3 4 1
"combn792" 14 14 8 2 3 5
"combn793" 17 17 12 6 7 6
"combn794" 12 13 8 2 2 2
"combn795" 11 14 13 3 3 1
"combn796" 13 10 7 0 0 0
"combn797" 14 16 12 7 4 1
"combn798" 11 12 8 2 2 2
"combn799" 10 7 8 1 1 3
"combn800" 14 8 10 5 3 2
"combn801" 12 14 12 6 7 5
"combn802" 16 14 10 3 4 1
"combn803" 8 8 7 2 2 3
"combn804" 14 13 12 2 1 2
"combn805" 9 9 7 2 1 1
"combn806" 11 11 12 3 5 6
"combn807" 10 11 12 3 4 3
"combn808" 12 10 7 8 4 3
"combn809" 10 14 8 4 2 3
"combn810" 9 15 13 4 6 5
"combn811" 11 11 13 2 3 3
"combn812" 12 10 9 4 4 3
"combn813" 13 7 10 3 3 3
"combn814" 8 5 6 3 1 2
"combn815" 9 10 13 2 6 7
"combn816" 8 13 12 1 2 4
"combn817" 7 8 10 1 1 0
"combn818" 13 10 11 2 4 4
"combn819" 8 10 9 1 1 3
"combn820" 15 12 12 3 3 2
"combn821" 13 12 12 2 2 2
"combn822" 7 11 14 2 4 1
"combn823" 13 11 12 5 7 5
"combn824" 11 12 11 4 4 3
"combn825" 11 10 11 3 1 1
"combn826" 9 11 9 2 3 3
"combn827" 9 10 8 3 0 3
"combn828" 12 9 7 5 2 4
"combn829" 9 7 6 4 6 4
"combn830" 11 9 7 3 3 3
"combn831" 8 7 12 1 4 6
"combn832" 6 6 7 2 3 3
"combn833" 10 9 9 8 6 4
"combn834" 6 7 6 4 3 3
"combn835" 8 7 5 1 0 1
"combn836" 11 7 8 4 2 2
"combn837" 11 13 8 2 4 6
"combn838" 9 5 6 1 0 0
"combn839" 12 8 9 1 1 0
"combn840" 8 8 7 6 7 3
"combn841" 8 11 10 3 4 4
"combn842" 10 8 8 2 3 4
"combn843" 11 11 10 5 3 3
"combn844" 7 6 8 1 2 3
"combn845" 7 9 6 3 3 1
"combn846" 9 6 4 0 2 2
"combn847" 13 9 8 2 1 1
"combn848" 5 6 4 2 1 1
"combn849" 14 12 10 6 5 4
"combn850" 9 8 8 0 0 2
"combn851" 9 7 8 4 5 3
"combn852" 11 15 10 6 4 5
"combn853" 14 11 9 6 5 6
"combn854" 6 7 7 2 7 6
"combn855" 11 12 8 8 2 2
"combn856" 7 12 10 5 6 6
"combn857" 8 11 8 0 4 1
"combn858" 7 8 9 4 4 4
"combn859" 9 9 8 5 1 1
"combn860" 7 9 9 2 2 2
"combn861" 6 8 7 1 2 1
"combn862" 7 11 12 2 2 1
"combn863" 10 9 12 5 6 6
"combn864" 9 10 12 2 1 1
"combn865" 9 8 8 6 3 5
"combn866" 3 7 7 1 3 3
"combn867" 7 10 10 0 3 3
"combn868" 6 8 8 0 3 3
"combn869" 10 9 7 2 2 3
"combn870" 6 8 6 0 2 1
"combn871" 12 10 9 1 1 1
"combn872" 10 12 9 1 2 2
"combn873" 5 10 9 1 4 3
"combn874" 10 10 10 5 5 5
"combn875" 12 11 11 5 7 7
"combn876" 7 9 8 5 5 3
"combn877" 11 13 10 4 2 2
"combn878" 8 10 8 1 1 3
"combn879" 14 14 10 3 2 3
"combn880" 11 13 9 2 1 2
"combn881" 12 12 9 3 2 2
"combn882" 12 14 13 3 2 3
"combn883" 8 9 4 2 1 2
"combn884" 15 16 11 4 4 3
"combn885" 8 11 7 1 1 1
"combn886" 9 13 8 0 1 4
"combn887" 13 11 9 5 5 4
"combn888" 15 14 8 4 3 4
"combn889" 9 6 7 5 3 5
"combn890" 15 13 10 4 3 4
"combn891" 9 12 9 1 1 3
"combn892" 9 11 9 1 2 1
"combn893" 14 12 10 4 4 2
"combn894" 16 13 11 2 1 1
"combn895" 15 12 8 1 1 1
"combn896" 13 13 11 2 1 1
"combn897" 8 14 10 2 5 5
"combn898" 15 14 13 4 4 4
"combn899" 11 13 8 2 3 2
"combn900" 13 12 12 4 3 2
"combn901" 8 10 9 4 6 7
"combn902" 14 16 14 7 7 5
"combn903" 8 13 10 1 3 3
"combn904" 8 13 8 0 2 3
"combn905" 11 14 12 8 10 8
"combn906" 11 10 7 6 4 3
"combn907" 11 15 9 4 5 3
"combn908" 10 11 9 1 2 4
"combn909" 8 10 7 2 4 1
"combn910" 9 10 11 2 4 4
"combn911" 9 11 12 2 2 2
"combn912" 12 9 6 10 7 3
"combn913" 7 11 12 0 0 4
"combn914" 8 16 15 0 4 7
"combn915" 9 13 13 5 3 3
"combn916" 11 11 7 2 2 3
"combn917" 8 11 9 0 1 1
"combn918" 12 12 7 2 2 2
"combn919" 14 15 10 0 2 4
"combn920" 5 11 11 0 3 4
"combn921" 11 13 11 3 4 3
"combn922" 12 10 6 1 3 2
"combn923" 11 13 12 10 7 6
"combn924" 8 10 9 5 3 3
"combn925" 10 11 11 1 3 4
"combn926" 7 13 10 2 4 3
"combn927" 15 14 14 8 8 7
"combn928" 9 8 9 1 3 3
"combn929" 10 14 12 1 4 5
"combn930" 4 5 3 0 0 0
"combn931" 6 8 5 5 3 4
"combn932" 12 14 10 3 4 4
"combn933" 9 10 9 2 1 1
"combn934" 11 11 12 7 7 5
"combn935" 10 8 7 1 2 2
"combn936" 8 13 12 1 4 5
"combn937" 14 13 11 8 8 6
"combn938" 8 15 12 1 5 7
"combn939" 10 12 10 3 4 5
"combn940" 8 10 6 1 1 0
"combn941" 11 14 11 6 5 2
"combn942" 7 12 12 2 5 3
"combn943" 14 13 13 9 9 6
"combn944" 8 10 8 5 4 4
"combn945" 15 18 14 8 12 8
"combn946" 10 17 12 4 5 3
"combn947" 10 10 8 0 0 3
"combn948" 13 12 13 6 5 6
"combn949" 8 10 8 3 5 4
"combn950" 15 16 11 3 8 8
"combn951" 12 13 10 5 5 4
"combn952" 12 13 9 6 6 4
"combn953" 13 10 8 2 1 1
"combn954" 15 11 13 5 5 3
"combn955" 10 7 9 6 4 2
"combn956" 11 9 10 0 1 2
"combn957" 11 15 13 2 3 3
"combn958" 9 11 11 4 4 3
"combn959" 15 14 9 2 1 0
"combn960" 12 12 11 4 4 4
"combn961" 16 15 8 5 8 8
"combn962" 13 12 9 1 1 1
"combn963" 8 12 13 1 2 3
"combn964" 13 12 10 2 0 2
"combn965" 14 14 10 3 2 1
"combn966" 13 11 11 5 3 4
"combn967" 11 9 11 2 4 3
"combn968" 9 11 12 1 2 3
"combn969" 6 9 7 0 0 1
"combn970" 12 16 12 6 6 3
"combn971" 12 13 8 4 2 1
"combn972" 14 11 9 5 4 3
"combn973" 9 11 10 1 2 2
"combn974" 15 13 10 4 5 4
"combn975" 5 8 9 1 2 2
"combn976" 13 10 9 1 0 2
"combn977" 12 13 11 5 6 3
"combn978" 9 13 12 1 2 4
"combn979" 12 13 12 5 1 3
"combn980" 14 9 9 1 2 3
"combn981" 12 13 9 0 3 2
"combn982" 11 12 10 2 3 3
"combn983" 17 13 9 8 7 3
"combn984" 10 10 13 4 3 4
"combn985" 11 12 10 2 3 3
"combn986" 12 12 13 3 3 4
"combn987" 12 15 11 1 1 2
"combn988" 8 8 7 1 1 6
"combn989" 11 13 10 3 2 0
"combn990" 7 10 10 5 6 5
"combn991" 11 8 10 1 3 3
"combn992" 15 16 12 3 8 4
"combn993" 16 8 5 4 3 6
"combn994" 7 9 7 1 1 2
"combn995" 12 10 9 5 7 7
"combn996" 11 15 12 3 8 4
"combn997" 11 12 11 4 4 4
"combn998" 10 14 13 7 5 8
"combn999" 14 14 11 8 6 4
"combn1000" 13 13 8 2 4 3
"combn1001" 14 16 14 13 10 5
"combn1002" 9 11 11 3 6 3
"combn1003" 12 13 11 2 4 5
"combn1004" 12 11 9 1 3 3
"combn1005" 14 15 11 1 5 7
"combn1006" 10 10 9 5 5 2
"combn1007" 16 14 11 2 3 4
"combn1008" 8 9 8 3 1 3
"combn1009" 9 11 11 5 4 4
"combn1010" 15 12 9 4 2 2
"combn1011" 12 12 11 1 1 2
"combn1012" 14 12 10 9 10 7
"combn1013" 15 12 9 3 4 3
"combn1014" 10 13 13 2 4 6
"combn1015" 15 16 13 7 5 4
"combn1016" 14 14 13 3 6 6
"combn1017" 14 16 14 3 5 6
"combn1018" 13 10 6 1 1 2
"combn1019" 16 16 13 4 6 5
"combn1020" 6 11 11 0 2 3
"combn1021" 18 18 16 7 7 5
"combn1022" 10 11 11 2 3 4
"combn1023" 18 16 15 5 7 6
"combn1024" 7 8 6 4 4 1
"combn1025" 3 9 5 3 3 3
"combn1026" 6 7 10 1 3 4
"combn1027" 6 5 7 2 2 3
"combn1028" 7 6 5 1 1 1
"combn1029" 8 10 12 4 4 4
"combn1030" 6 7 7 0 2 4
"combn1031" 3 8 7 0 2 1
"combn1032" 6 7 8 2 2 1
"combn1033" 8 7 7 1 2 3
"combn1034" 5 7 9 1 1 0
"combn1035" 10 10 5 4 6 6
"combn1036" 9 11 10 0 2 0
"combn1037" 3 7 7 0 1 2
"combn1038" 9 10 8 1 2 4
"combn1039" 5 8 8 3 1 1
"combn1040" 10 9 6 3 4 5
"combn1041" 10 12 9 1 1 1
"combn1042" 9 12 8 0 3 3
"combn1043" 14 14 13 3 1 2
"combn1044" 12 14 9 1 5 6
"combn1045" 10 10 10 3 4 4
"combn1046" 16 15 10 3 3 4
"combn1047" 12 16 13 3 5 4
"combn1048" 13 13 10 3 3 2
"combn1049" 16 18 14 7 4 3
"combn1050" 15 16 12 3 3 3
"combn1051" 14 16 10 4 4 4
"combn1052" 14 17 13 3 3 2
"combn1053" 10 14 10 7 6 4
"combn1054" 15 13 11 5 4 6
"combn1055" 10 13 10 1 3 3
"combn1056" 14 17 15 5 3 3
"combn1057" 11 13 13 5 6 4
"combn1058" 6 8 9 4 4 4
"combn1059" 9 8 9 8 7 3
"combn1060" 4 4 3 0 0 0
"combn1061" 7 11 9 4 7 6
"combn1062" 14 12 11 6 4 3
"combn1063" 7 8 8 4 2 3
"combn1064" 8 10 8 3 3 5
"combn1065" 8 9 7 4 5 3
"combn1066" 12 14 10 3 8 5
"combn1067" 7 11 10 5 3 2
"combn1068" 11 9 8 2 2 1
"combn1069" 6 9 7 2 3 3
"combn1070" 12 10 8 4 3 3
"combn1071" 5 7 7 1 2 2
"combn1072" 8 7 9 1 2 1
"combn1073" 17 10 7 8 7 5
"combn1074" 3 4 8 2 4 3
"combn1075" 11 11 9 0 2 3
"combn1076" 14 12 11 6 7 5
"combn1077" 11 9 10 3 2 3
"combn1078" 10 10 9 2 3 5
"combn1079" 11 12 10 1 2 3
"combn1080" 12 9 8 2 4 5
"combn1081" 9 12 12 1 2 1
"combn1082" 12 10 10 1 6 2
"combn1083" 9 12 11 3 2 3
"combn1084" 10 12 12 2 2 2
"combn1085" 9 8 7 2 2 2
"combn1086" 13 9 8 1 1 0
"combn1087" 11 9 9 1 1 3
"combn1088" 13 10 9 5 4 4
"combn1089" 11 15 10 3 6 5
"combn1090" 13 12 9 5 4 3
"combn1091" 14 14 12 3 5 5
"combn1092" 16 12 9 1 0 1
"combn1093" 15 15 9 2 3 2
"combn1094" 16 15 13 6 4 3
"combn1095" 9 16 14 2 5 6
"combn1096" 16 11 10 4 3 4
"combn1097" 13 13 13 4 4 8
"combn1098" 15 14 12 2 3 4
"combn1099" 6 7 8 3 2 2
"combn1100" 15 13 9 3 3 3
"combn1101" 12 11 11 2 3 2
"combn1102" 11 10 9 4 3 1
"combn1103" 13 12 6 2 1 3
"combn1104" 15 12 8 4 5 4
"combn1105" 14 9 8 2 5 3
"combn1106" 14 12 8 3 2 3
"combn1107" 11 13 10 1 3 3
"combn1108" 16 12 11 4 3 3
"combn1109" 10 9 8 2 2 2
"combn1110" 14 11 9 2 2 1
"combn1111" 8 6 6 1 1 0
"combn1112" 5 10 8 1 3 3
"combn1113" 10 12 7 4 4 4
"combn1114" 9 10 10 2 5 5
"combn1115" 8 9 9 2 3 4
"combn1116" 8 7 5 1 0 0
"combn1117" 12 12 10 3 3 3
"combn1118" 4 8 7 0 2 3
"combn1119" 11 13 12 5 5 5
"combn1120" 6 7 8 1 2 3
"combn1121" 13 13 11 8 9 3
"combn1122" 9 9 10 3 2 2
"combn1123" 14 13 14 4 3 1
"combn1124" 15 12 11 6 6 3
"combn1125" 17 17 12 7 9 4
"combn1126" 10 10 8 1 4 5
"combn1127" 15 14 13 6 6 2
"combn1128" 13 11 9 1 2 4
"combn1129" 16 11 12 6 6 5
"combn1130" 7 10 8 2 1 2
"combn1131" 14 12 10 1 2 3
"combn1132" 12 14 14 1 2 2
"combn1133" 8 16 13 5 6 4
"combn1134" 10 12 11 1 1 1
"combn1135" 13 15 9 3 2 1
"combn1136" 10 16 13 3 4 3
"combn1137" 11 14 12 3 7 5
"combn1138" 9 13 11 0 1 3
"combn1139" 12 14 10 2 4 5
"combn1140" 9 15 14 1 3 4
"combn1141" 8 14 13 0 2 5
"combn1142" 12 14 12 3 4 3
"combn1143" 8 9 9 1 4 1
"combn1144" 13 13 11 4 2 1
"combn1145" 7 11 9 2 2 3
"combn1146" 15 14 12 8 7 3
"combn1147" 8 13 8 0 1 2
"combn1148" 14 15 11 7 6 6
"combn1149" 14 15 11 10 4 5
"combn1150" 13 13 9 3 2 1
"combn1151" 13 16 14 9 7 4
"combn1152" 11 15 11 5 7 6
"combn1153" 13 12 11 2 4 6
"combn1154" 10 14 11 3 8 8
"combn1155" 13 17 15 3 5 9
"combn1156" 12 11 4 1 2 2
"combn1157" 15 15 14 11 11 7
"combn1158" 13 12 11 2 1 1
"combn1159" 15 15 14 4 6 3
"combn1160" 10 13 11 1 1 1
"combn1161" 16 15 10 1 4 5
"combn1162" 15 15 8 1 2 1
"combn1163" 9 10 9 0 1 0
"combn1164" 13 9 6 0 1 1
"combn1165" 13 12 9 5 1 1
"combn1166" 13 12 8 2 2 2
"combn1167" 7 12 11 2 2 1
"combn1168" 18 14 11 5 5 3
"combn1169" 9 10 11 2 1 1
"combn1170" 16 18 14 1 4 1
"combn1171" 7 11 11 2 3 3
"combn1172" 10 16 13 1 9 7
"combn1173" 9 12 12 4 5 5
"combn1174" 9 10 11 2 3 4
"combn1175" 17 15 11 8 9 5
"combn1176" 9 10 9 1 3 4
