"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn177" 15 12 9 6 3 1
"combn178" 9 8 9 3 3 2
"combn179" 12 14 7 6 5 3
"combn180" 10 10 8 3 3 2
"combn181" 15 14 11 4 4 3
"combn182" 12 13 9 0 1 2
"combn183" 8 10 9 5 4 2
"combn184" 10 10 9 4 5 3
"combn185" 11 9 8 0 1 1
"combn186" 10 12 8 0 1 1
"combn187" 11 10 11 0 1 2
"combn188" 13 11 10 2 2 2
"combn189" 10 9 8 3 3 4
"combn190" 7 10 8 1 3 1
"combn191" 0 1 0 2 4 1
"combn192" 10 11 9 1 2 3
"combn193" 10 11 11 3 5 4
"combn194" 14 9 9 3 6 3
"combn195" 11 9 9 2 2 1
"combn196" 14 14 12 4 5 1
"combn197" 8 7 10 1 1 1
"combn198" 9 7 7 1 2 1
"combn199" 12 12 7 1 3 3
"combn200" 8 8 6 2 2 1
"combn201" 7 9 9 2 3 1
"combn202" 12 9 10 3 2 0
"combn203" 10 8 11 0 1 1
"combn204" 10 8 7 4 3 3
"combn205" 5 9 9 0 2 2
"combn206" 12 8 9 0 0 0
"combn207" 10 9 7 3 2 3
"combn208" 8 9 8 2 3 1
"combn209" 11 10 9 3 3 2
"combn210" 7 9 9 1 1 1
"combn211" 10 10 11 2 5 2
"combn212" 11 10 9 4 3 0
"combn213" 8 6 5 3 2 1
"combn214" 12 10 10 1 1 1
"combn215" 6 13 15 7 5 5
"combn216" 8 13 14 5 2 2
"combn217" 10 9 8 2 2 3
"combn218" 12 9 6 2 3 3
"combn219" 8 7 7 3 3 1
"combn220" 12 11 11 3 4 3
"combn221" 6 12 14 2 1 1
"combn222" 10 9 11 7 6 2
"combn223" 9 10 10 0 0 2
"combn224" 11 10 9 1 3 1
"combn225" 11 13 9 1 4 4
"combn226" 14 14 11 3 4 5
"combn227" 5 6 8 0 0 1
"combn228" 15 10 10 1 2 1
"combn229" 5 7 8 1 0 4
"combn230" 11 10 9 2 2 0
"combn231" 13 12 10 6 6 5
"combn232" 10 12 8 1 2 4
"combn233" 15 14 9 3 4 3
"combn234" 2 2 0 3 3 2
"combn235" 13 13 8 4 3 2
"combn236" 13 16 14 7 5 6
"combn237" 14 17 13 6 6 4
"combn238" 14 14 9 4 4 5
"combn239" 13 13 14 4 3 4
"combn240" 10 14 9 1 2 4
"combn241" 11 13 10 3 4 3
"combn242" 11 13 7 2 4 3
"combn243" 12 13 10 3 3 2
"combn244" 10 12 10 0 2 3
"combn245" 16 15 8 8 5 4
"combn246" 17 13 11 6 7 7
"combn247" 12 9 7 1 2 3
"combn248" 11 11 9 7 6 6
"combn249" 12 13 8 4 3 3
"combn250" 13 14 11 4 5 6
"combn251" 6 11 7 5 3 4
"combn252" 19 16 14 6 6 5
"combn253" 9 12 12 5 5 5
"combn254" 11 12 8 2 4 5
"combn255" 10 12 10 3 5 5
"combn256" 11 10 7 2 3 3
"combn257" 11 16 8 1 2 2
"combn258" 9 11 11 4 4 5
"combn259" 13 12 11 3 3 3
"combn260" 11 12 7 5 3 4
"combn261" 15 9 9 4 5 4
"combn262" 7 6 5 1 1 3
"combn263" 10 13 9 5 5 7
"combn264" 9 15 13 4 6 6
"combn265" 7 10 11 1 0 1
"combn266" 12 14 9 3 5 4
"combn267" 10 13 8 2 2 3
"combn268" 17 15 9 4 3 5
"combn269" 15 17 10 3 3 4
"combn270" 6 11 9 3 6 3
"combn271" 13 12 8 4 2 1
"combn272" 10 11 10 5 4 3
"combn273" 12 14 9 3 3 3
"combn274" 13 10 7 4 3 5
