"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-miR-3620-5p"	"hsa-mir-3620"	1.13	0.87	1.27	1.3	1	1	1	2	18	5	9	5	0.423243050160006	0.434328125068133	0.724216591188056	0.392465976855379	0.35538167707057	-0.0512125489859238	-0.00230869085206547	0.0123598058917787	0.0527713803333476	0.187254950622774
"hsa-miR-3622a-5p"	"hsa-mir-3622a"	0.35	0.78	0.65	2.68	0	2	0	2	5	14	4	16	0.413776957844439	4.10919721884356e-06	0.667963334353946	6.6632019063059e-07	0.675804285834998	-0.0563137526041685	1.97830689635552	-0.0277209045531543	1.90114166965109	0.10760014653367
"hsa-miR-362-5p"	"hsa-mir-362"	109	83.6	124	121	87	52	115.5	118	672	136	2457	351	1.9996653741931e-05	0.000305053677375568	0.692072384422567	0.485285804712556	0.740812500369727	-0.904906218976602	-0.933475336301701	-0.024262455213495	0.0046795568213471	0.657755275828944
"hsa-miR-365a-5p"	"hsa-mir-365a"	1.18	1.8	1.13	0.84	1	2	1	1	10	8	12	6	0.0775201041604965	0.28737231452366	0.663850752482564	0.140850812898161	0.114441420597024	0.52695872615793	0.105782962871422	-0.0331503365642825	-0.292859529222819	-0.579608156388641
"hsa-miR-365b-5p"	"hsa-mir-365b"	1.78	2.71	2.16	1.73	2	3	2.5	2	11	8	13	7	0.159765621385845	0.112941342823609	0.533307229876481	0.14355795168099	0.0890919963755648	0.243691023976562	0.245645150110447	-0.071399825774089	-0.240483104175092	-0.531768687509852
"hsa-miR-3664-5p"	"hsa-mir-3664"	0.46	0.54	0.83	0.32	0	0	0.5	0	3	14	5	2	0.116168719424744	0.304691219891329	0.616215334026239	0.111596338570827	0.0850458826871523	0.580979065905567	0.14907639212837	-0.049431161715111	-0.425375222854666	-0.792817690466188
"hsa-miR-3667-5p"	"hsa-mir-3667"	0.14	0.0900000000000001	0.35	0.38	0	0	0	0	2	1	4	2	0.0443051691571745	0.255308257265689	0.638605968444534	0.189731095184802	0.682656564660445	-0.976732023232723	-0.207558086008472	-0.0375105063573632	0.282841074601678	0.427104132695317
"hsa-miR-3675-5p"	"hsa-mir-3675"	0.16	0.04	0.0800000000000001	0.03	0	0	0	0	11	0	3	1	0.257273265281771	0.192779341206936	0.64680926935331	0.246748741749406	0.349147403745882	-0.182581077167128	-0.516232295299968	0.0328492836506532	-0.267179129801177	0.305747709906815
"hsa-miR-3679-5p"	"hsa-mir-3679"	4.05	2.62	3.64	1.09	4	1	4	1	30	4	24	5	0.485655992386854	0.000379834746541944	0.646413545526876	1.01104949118587e-05	0.580437255601133	0.01233310080354	-1.264962796625	-0.038617772877694	-1.49995746842962	-0.0294043508130456
"hsa-miR-3681-5p"	"hsa-mir-3681"	0.33	0.51	0.36	0.26	0	1	0	0	13	7	3	5	0.0555096136058664	0.294059448000891	0.698311756554801	0.433336935115097	0.576188240003599	0.841563822520286	0.167331637256194	0.0289987509748394	-0.00476855510238392	-0.232723505947789
